Item,Item Description,Site Number,Category,SU-UPC,Each-UPC,Case-UPC,Pack(SU),Retail,Each Cost,Total Cost(SU)/Tax,Total Cost(SU) W/O Tax,Eligible for Credit,Item Status,As of Date
4000007,ADVIL LIQUIGELS 50/BX 2CT,309173-28 MAIN STREET CT INC,Analgesics,305730169028,,50305730169023,50,0.59,0.36,18.07,18.07,No,Active,8/4/2025
4000008,ADVIL PM CAPLETS 50/BX 2CT,309173-28 MAIN STREET CT INC,Analgesics,305730164559,,50305730164554,50,0.59,0.37,18.68,18.68,No,Active,8/4/2025
4000011,ADVIL TABLETS 50/BOX 2CT,309173-28 MAIN STREET CT INC,Analgesics,305730154895,005730154894,50305730154890,50,0.49,0.29,14.49,14.49,No,Active,8/4/2025
4000014,ALEVE 48PC BOX 1CT,309173-28 MAIN STREET CT INC,Analgesics,325866530882,819358030023,10325866530889,48,0.39,0.23,11.03,11.03,No,Active,8/4/2025
4000029,BAYER ASPIRIN 50/BX 2CT,309173-28 MAIN STREET CT INC,Analgesics,819358010612,819358010612,,50,0.29,0.19,9.72,9.72,No,Active,8/4/2025
4000036,BENGAY ULTRA 2OZ 6CT,309173-28 MAIN STREET CT INC,Analgesics,074300081939,074300005355,10074300081936,6,0.00,5.85,35.11,35.11,No,Active,8/4/2025
4002246,LIL DRUG 6PK ADVIL DUAL-ACTION 6CT,309173-28 MAIN STREET CT INC,Analgesics,10366715970135,366715970138,20366715970132,6,3.49,2.49,14.95,14.95,No,Active,8/4/2025
4002012,LIL DRUG ADVIL 6/6CT,309173-28 MAIN STREET CT INC,Analgesics,10366715970036,366715970039,20366715970033,6,3.09,2.17,12.99,12.99,No,Active,8/4/2025
4002021,LIL DRUG ADVIL LIQUI-GELS 6/6CT,309173-28 MAIN STREET CT INC,Analgesics,10366715975239,366715975232,20366715975236,6,3.29,2.31,13.88,13.88,No,Active,8/4/2025
4002005,LIL DRUG ADVIL PM 6/6CT,309173-28 MAIN STREET CT INC,Analgesics,10366715973334,366715973337,20366715973331,6,3.39,2.38,14.30,14.30,No,Active,8/4/2025
4002013,LIL DRUG ALEVE 6/3CT,309173-28 MAIN STREET CT INC,Analgesics,10366715970234,366715970237,20366715970231,6,3.19,2.28,13.65,13.65,No,Active,8/4/2025
4000446,LIL DRUG BAYER ASPIRIN 6/4CT,309173-28 MAIN STREET CT INC,Analgesics,10366715972627,366715972620,20366715972624,6,0.00,1.80,10.79,10.79,No,Active,8/4/2025
4002018,LIL DRUG EXCEDRIN 6/6CT,309173-28 MAIN STREET CT INC,Analgesics,10366715971033,366715971036,20366715971030,6,3.29,2.34,14.05,14.05,No,Active,8/4/2025
4002453,LIL DRUG MIDOL 6/4CT,309173-28 MAIN STREET CT INC,Analgesics,10366715974522,366715974525,20366715974529,6,2.89,2.04,12.25,12.25,No,Active,8/4/2025
4002016,LIL DRUG MOTRIN IB 6/6CT,309173-28 MAIN STREET CT INC,Analgesics,10366715971231,366715971234,20366715971238,6,3.19,2.25,13.48,13.48,No,Active,8/4/2025
4002006,LIL DRUG TYLENOL CAPLET 6/6CT,309173-28 MAIN STREET CT INC,Analgesics,10366715974737,366715974730,20366715974734,6,3.09,2.19,13.16,13.16,No,Active,8/4/2025
4002010,LIL DRUG TYLENOL COLD SVR FLU 6/6CT,309173-28 MAIN STREET CT INC,Analgesics,10366715975635,366715975638,20366715975632,6,3.79,2.68,16.10,16.10,No,Active,8/4/2025
4002008,LIL DRUG TYLENOL SINUS 6/6CT,309173-28 MAIN STREET CT INC,Analgesics,10366715975734,366715975737,20366715975731,6,3.79,2.68,16.10,16.10,No,Active,8/4/2025
4000498,MOTRIN IB LIQUID GELS 20CT/6PK,309173-28 MAIN STREET CT INC,Analgesics,300450409201,300450409201,10300450409208,6,7.89,5.58,33.45,33.45,No,Active,8/4/2025
4000004,SP ADVIL CAPLETS 24 TABLETS,309173-28 MAIN STREET CT INC,Analgesics,305730160209,305730160209,50305730160204,1,6.89,4.87,4.87,4.87,No,Active,8/4/2025
4000005,SP ADVIL DUAL ACTION 18 TABLETS,309173-28 MAIN STREET CT INC,Analgesics,305730147187,305730147187,50305730147182,1,6.89,4.88,4.88,4.88,No,Active,8/4/2025
4000006,SP ADVIL LIQ GELS 20 TABLETS,309173-28 MAIN STREET CT INC,Analgesics,305730169202,305730169202,50305730169207,1,7.09,5.05,5.05,5.05,No,Active,8/4/2025
4002284,SP ADVIL PM 20PC CAPLET,309173-28 MAIN STREET CT INC,Analgesics,305730164207,305730164207,50305730164202,1,7.79,5.52,5.52,5.52,No,Active,8/4/2025
4000010,SP ADVIL TABLETS 24 TABLETS,309173-28 MAIN STREET CT INC,Analgesics,305730150200,,50305730150205,1,6.89,4.87,4.87,4.87,No,Active,8/4/2025
4000015,SP ALEVE CAPLET 24 TABLETS,309173-28 MAIN STREET CT INC,Analgesics,025866591998,325866105028,50025866591993,1,7.59,5.36,5.36,5.36,No,Active,8/4/2025
4000030,SP BAYER ASPIRIN TABLET 325MG 24-TABLETS,309173-28 MAIN STREET CT INC,Analgesics,312843555365,312843555365,10312843563596,1,5.60,4.00,4.00,4.00,No,Active,8/4/2025
4001102,SP EXCEDRIN EXTRA STRNGTH 24 CAPSULE,309173-28 MAIN STREET CT INC,Analgesics,300672000248,300672000248,10300672000245,1,7.89,5.62,5.62,5.62,Yes,Active,8/4/2025
4001141,SP EXCEDRIN MIGRAINE 24 CAPSULE,309173-28 MAIN STREET CT INC,Analgesics,300672039248,300672039248,10300672039245,1,7.99,5.68,5.68,5.68,Yes,Active,8/4/2025
