ID,Product_Name,UPC_Code,Department_Name,Department_Code,Category,Display_Price,Price_Numeric,Age_Restricted,Age_Restricted_Boolean,Stock_Status,Search_Terms,Tax_Rate
703321,BIC MINI CHILD GUARD 50CT TRAY,703321,Tobacco Accessories,26,Tobacco,$2.30,2.3,Yes,True,In Stock,bic mini child guard 50ct tray,8.625
866149,ZIG ZAG REG.WHITE 24'S,866149,Tobacco Accessories,26,Tobacco,$2.75,2.75,Yes,True,In Stock,zig zag reg white 24 s,8.625
866248,ZIG ZAG ORANGE 1 1/4 24',866248,Tobacco Accessories,26,Tobacco,$2.99,2.99,Yes,True,In Stock,zig zag orange 1 1 4 24,8.625
866743,ZIG ZAG ORANGE KING 24'S,866743,Tobacco Accessories,26,Tobacco,$3.21,3.21,Yes,True,In Stock,zig zag orange king 24 s,8.625
982238,FERRERO RAFFAELO (COCONUT) 3PC 12CT,982238,Candy & Snacks,18,Snacks,$2.76,2.76,No,False,In Stock,ferrero raffaelo coconut 3pc 12ct,8.625
40111216,BOUNTY 24CT,40111216,Candy & Snacks,18,Snacks,$2.30,2.3,No,False,In Stock,bounty 24ct,8.625
40883694,AXE ANTI HANGOVER 200ML,40883694,Home & Kitchen,32,Home,$4.99,4.99,No,False,In Stock,axe anti hangover 200ml,8.625
50985104,HALLS HONEY & LEMON,50985104,Candy & Snacks,18,Snacks,$2.30,2.3,No,False,In Stock,halls honey lemon,8.625
60014399,VASELINE REG 1.07Oz,60014399,Home & Kitchen,32,Home,$1.99,1.99,No,False,In Stock,vaseline reg 1 07oz,8.625
980000632,TIC TAC ORANGE BOTTLE PK 4CT,980000632,Candy & Snacks,18,Snacks,$5.05,5.05,No,False,In Stock,tic tac orange bottle pk 4ct,8.625
1200000531,2 / PEPSI REG 2OOz,1200000531,Convenience Items,27,General,$4.50,4.5,No,False,In Stock,2 pepsi reg 2ooz,8.625
1200001880,2 / PEPSI ZERO SUGAR 20Oz,1200001880,Convenience Items,27,General,$4.50,4.5,No,False,In Stock,2 pepsi zero sugar 20oz,8.625
1230000068,CAMEL SNUS WINTERCHILL PCH 5CT,1230000068,Seasonal,12,Seasonal,$9.20,9.2,No,False,In Stock,camel snus winterchill pch 5ct,8.625
1410007481,PEP FARMS RASPBERRY CHOCOLATE,1410007481,Food & Grocery,24,Grocery,$5.99,5.99,No,False,In Stock,pep farms raspberry chocolate,8.625
1410009997,MILANO MILK CHOCOLATE 6Oz,1410009997,Food & Grocery,24,Grocery,$5.99,5.99,No,False,In Stock,milano milk chocolate 6oz,0.0
1820025006,2 / BUD ICE 25Oz CN,1820025006,Other,0,General,$5.99,5.99,No,False,In Stock,2 bud ice 25oz cn,8.625
1820025013,2 / NATTY DADDY 25Oz CN,1820025013,Health & Beauty,21,Beauty,$5.99,5.99,No,False,In Stock,2 natty daddy 25oz cn,8.625
1820026188,2 / BUDLIGHT LEM HARD SODA 24Oz CN,1820026188,Health & Beauty,21,Beauty,$7.99,7.99,No,False,In Stock,2 budlight lem hard soda 24oz cn,8.625
4178019024,UTZ RIPPLES SC & ONION 3Oz,4178019024,Automotive,9,Auto,$2.49,2.49,No,False,In Stock,utz ripples sc onion 3oz,0.0
4610035353,SARGENTO BBRK MNT/JC CHED WHT THN 3P,4610035353,Food & Grocery,24,Grocery,$2.99,2.99,No,False,In Stock,sargento bbrk mnt jc ched wht thn 3p,0.0
4650021613,RAID ANY & ROACH,4650021613,Home & Kitchen,32,Home,$7.99,7.99,No,False,In Stock,raid any roach,8.625
4767748533,M&M'S PEANUT BUTTER ICE CREAM SANDWICH 3,4767748533,Dairy & Refrigerated,3,General,$3.99,3.99,No,False,In Stock,m m s peanut butter ice cream sandwich 3,0.0
4900000764,2 / SPRITE 20Oz,4900000764,Convenience Items,27,General,$4.50,4.5,No,False,In Stock,2 sprite 20oz,8.625
7084701755,2 / MONSTER ULTRA RED 16Oz,7084701755,Beverages & Drinks,25,Drinks,$5.99,5.99,No,False,In Stock,2 monster ultra red 16oz,8.625
7084702097,MONSTER ULTRA SUNRISE 16Oz,7084702097,Beverages & Drinks,25,Drinks,$3.29,3.29,No,False,In Stock,monster ultra sunrise 16oz,8.625
7084702097,2 / MONSTER ULTRA SUNRISE 16Oz,7084702097,Beverages & Drinks,25,Drinks,$5.99,5.99,No,False,In Stock,2 monster ultra sunrise 16oz,8.625
7084703308,2 / MONSTER ULTRA PARADISE 16Oz,7084703308,Beverages & Drinks,25,Drinks,$5.99,5.99,No,False,In Stock,2 monster ultra paradise 16oz,8.625
7084703780,2 / MONSTER ZERO SUGAR GOLD 16Oz,7084703780,Beverages & Drinks,25,Drinks,$5.99,5.99,No,False,In Stock,2 monster zero sugar gold 16oz,8.625
8346874507,SLIMFAST KETO 12CT,8346874507,Candy & Snacks,18,Snacks,$2.49,2.49,No,False,In Stock,slimfast keto 12ct,8.625
8563888707,POPPIES COCNUT MACROON,8563888707,Household Items,5,Household,$1.00,1.0,No,False,In Stock,poppies cocnut macroon,0.0
8660000019,ZIC-ZAC,8660000019,Tobacco Accessories,26,Tobacco,$2.49,2.49,Yes,True,In Stock,zic zac,8.625
8660000156,ZIG ZAG CONES KING SIZE 24CT,8660000156,Tobacco Accessories,26,Tobacco,$2.99,2.99,Yes,True,In Stock,zig zag cones king size 24ct,8.625
8660000187,ZIG ZAG CONES 1.25 24CT,8660000187,Tobacco Accessories,26,Tobacco,$2.99,2.99,Yes,True,In Stock,zig zag cones 1 25 24ct,8.625
8660006028,ZIG-ZAG 12'S 1 1/4,8660006028,Tobacco Accessories,26,Tobacco,$9.99,9.99,Yes,True,In Stock,zig zag 12 s 1 1 4,8.625
8660007322,ZIG ZAG ULTRA THIN 1 1/4 24',8660007322,Tobacco Accessories,26,Tobacco,$2.75,2.75,Yes,True,In Stock,zig zag ultra thin 1 1 4 24,8.625
8660007384,ZIG ZAG ORGANIC HEMP 1 1/4 24,8660007384,Tobacco Accessories,26,Tobacco,$2.30,2.3,Yes,True,In Stock,zig zag organic hemp 1 1 4 24,8.625
8660007407,ZIG ZAG,8660007407,Tobacco Accessories,26,Tobacco,$2.30,2.3,Yes,True,In Stock,zig zag,8.625
8660007698,ZIG ZAG UNBLEACHED CONES 1.25 24CT,8660007698,Tobacco Accessories,26,Tobacco,$2.99,2.99,Yes,True,In Stock,zig zag unbleached cones 1 25 24ct,8.625
8660007766,ZIG ZAG UNBLEACHED KING CONES 24CT,8660007766,Tobacco Accessories,26,Tobacco,$2.99,2.99,Yes,True,In Stock,zig zag unbleached king cones 24ct,8.625
8660007988,ZIG ZAG,8660007988,Tobacco Accessories,26,Tobacco,$2.76,2.76,Yes,True,In Stock,zig zag,8.625
8660008633,ZIG ZAG MINI 8PK,8660008633,Tobacco Accessories,26,Tobacco,$2.99,2.99,Yes,True,In Stock,zig zag mini 8pk,8.625
8660008701,ZIG ZAG 8PK CONES,8660008701,Tobacco Accessories,26,Tobacco,$2.99,2.99,Yes,True,In Stock,zig zag 8pk cones,8.625
